=== MATCH SCHEDULE FOR SATURDAY ===
08:00 AM - 08:30 AM | CMS32  | Court 1
08:00 AM - 08:30 AM | CMS33  | Court 2
08:00 AM - 08:30 AM | CMS34  | Court 3
08:00 AM - 08:30 AM | DMS26  | Court 4
08:00 AM - 08:30 AM | DMS27  | Court 5
08:00 AM - 08:30 AM | DMS28  | Court 6
08:30 AM - 09:00 AM | DMS29  | Court 1
08:30 AM - 09:00 AM | DMS30  | Court 2
08:30 AM - 09:00 AM | DMS31  | Court 3
08:30 AM - 09:00 AM | DMS32  | Court 4
08:30 AM - 09:00 AM | DMS33  | Court 5
08:30 AM - 09:00 AM | DMS34  | Court 6
09:00 AM - 09:30 AM | DMS35  | Court 1
09:00 AM - 09:30 AM | DMS36  | Court 2
09:00 AM - 09:30 AM | DMS37  | Court 3
09:00 AM - 09:30 AM | DMS38  | Court 4
09:00 AM - 09:30 AM | DMS39  | Court 5
09:00 AM - 09:30 AM | DMS40  | Court 6
09:30 AM - 10:00 AM | CMS65  | Court 1
09:30 AM - 10:00 AM | CMS66  | Court 2
09:30 AM - 10:00 AM | CMS67  | Court 3
09:30 AM - 10:00 AM | CMS68  | Court 4
09:30 AM - 10:00 AM | CMS69  | Court 5
09:30 AM - 10:00 AM | CMS70  | Court 6
10:00 AM - 10:30 AM | CMS71  | Court 1
10:00 AM - 10:30 AM | CMS72  | Court 2
10:00 AM - 10:30 AM | CMS73  | Court 3
10:00 AM - 10:30 AM | CMS74  | Court 4
10:00 AM - 10:30 AM | CMS75  | Court 5
10:00 AM - 10:30 AM | CMS76  | Court 6
10:30 AM - 11:00 AM | CMS77  | Court 1
10:30 AM - 11:00 AM | CMS78  | Court 2
10:30 AM - 11:00 AM | CMS79  | Court 3
10:30 AM - 11:00 AM | CMS80  | Court 4
10:30 AM - 11:00 AM | CMS81  | Court 5
10:30 AM - 11:00 AM | CMS82  | Court 6
11:00 AM - 11:30 AM | CMS83  | Court 15
11:00 AM - 11:30 AM | CMS84  | Court 16
11:00 AM - 11:30 AM | CMS85  | Court 17
11:00 AM - 11:30 AM | CMS86  | Court 17
