=== MATCH SCHEDULE FOR SUNDAY ===
08:00 AM - 08:30 AM | DMD2   | Court 1
08:00 AM - 08:30 AM | DMD4   | Court 2
08:00 AM - 08:30 AM | DMD6   | Court 3
08:00 AM - 08:30 AM | DMD7   | Court 4
08:00 AM - 08:30 AM | DMD8   | Court 5
08:00 AM - 08:30 AM | DMD10  | Court 6
08:30 AM - 09:00 AM | DMD11  | Court 1
08:30 AM - 09:00 AM | DMD12  | Court 2
08:30 AM - 09:00 AM | DMD14  | Court 3
08:30 AM - 09:00 AM | DMD15  | Court 4
08:30 AM - 09:00 AM | DMD16  | Court 5
08:30 AM - 09:00 AM | DMD17  | Court 6
09:00 AM - 09:30 AM | DMD18  | Court 1
09:00 AM - 09:30 AM | DMD19  | Court 2
09:00 AM - 09:30 AM | DMD21  | Court 3
09:00 AM - 09:30 AM | DMD22  | Court 4
09:00 AM - 09:30 AM | DMD23  | Court 5
09:00 AM - 09:30 AM | DMD25  | Court 6
09:30 AM - 10:00 AM | DMD26  | Court 1
09:30 AM - 10:00 AM | DMD27  | Court 2
09:30 AM - 10:00 AM | DMD29  | Court 3
09:30 AM - 10:00 AM | DMD30  | Court 4
09:30 AM - 10:00 AM | DMD31  | Court 5
09:30 AM - 10:00 AM | CMD2   | Court 6
10:00 AM - 10:30 AM | CMD3   | Court 1
10:00 AM - 10:30 AM | CMD4   | Court 2
10:00 AM - 10:30 AM | CMD6   | Court 3
10:00 AM - 10:30 AM | CMD7   | Court 4
10:00 AM - 10:30 AM | CMD8   | Court 5
10:00 AM - 10:30 AM | CMD10  | Court 6
10:30 AM - 11:00 AM | CMD11  | Court 1
10:30 AM - 11:00 AM | CMD12  | Court 2
10:30 AM - 11:00 AM | CMD14  | Court 3
10:30 AM - 11:00 AM | CMD15  | Court 4
10:30 AM - 11:00 AM | CMD16  | Court 5
10:30 AM - 11:00 AM | CMD17  | Court 6
11:00 AM - 11:30 AM | CMD18  | Court 15
11:00 AM - 11:30 AM | CMD19  | Court 16
11:00 AM - 11:30 AM | CMD20  | Court 17
11:00 AM - 11:30 AM | CMD21  | Court 17
11:00 AM - 11:30 AM | CMD22  | Court 11
11:00 AM - 11:30 AM | CMD23  | Court 12
11:00 AM - 11:30 AM | CMD25  | Court 13
11:00 AM - 11:30 AM | CMD26  | Court 14
11:00 AM - 11:30 AM | CMD27  | Court 1
11:00 AM - 11:30 AM | CMD29  | Court 2
11:00 AM - 11:30 AM | CMD30  | Court 3
11:00 AM - 11:30 AM | CMD31  | Court 4
11:00 AM - 11:30 AM | DMD33  | Court 5
11:00 AM - 11:30 AM | DMD34  | Court 6
11:00 AM - 11:30 AM | DMD35  | Court 7
11:00 AM - 11:30 AM | DMD36  | Court 8
11:00 AM - 11:30 AM | DMD37  | Court 9
11:00 AM - 11:30 AM | DMD38  | Court 10
11:30 AM - 12:00 noon | DMD39  | Court 15
11:30 AM - 12:00 noon | DMD40  | Court 16
11:30 AM - 12:00 noon | DMD41  | Court 17
11:30 AM - 12:00 noon | DMD42  | Court 17
11:30 AM - 12:00 noon | DMD43  | Court 11
11:30 AM - 12:00 noon | DMD44  | Court 12
11:30 AM - 12:00 noon | DMD45  | Court 13
11:30 AM - 12:00 noon | DMD46  | Court 14
11:30 AM - 12:00 noon | DMD47  | Court 1
11:30 AM - 12:00 noon | DMD48  | Court 2
11:30 AM - 12:00 noon | DWD1   | Court 3
